#,Week,Priority,Task Name,Short Description,Dependencies,Acceptance Criteria,Implementation Guide,Role,Complexity,Status,Assigned To,Notes
T-10,2,High,Report Submission Form,"UI form: description, category, priority, GPS map, image upload",T-5,Form submits; shows map picker; GPS button works; image preview shown,"Django form with Leaflet map widget (Geolocation API button), file upload (jpg/png), dropdowns for category/priority/municipality. 3-click max.",FE,Medium,To Do,Јована,SPRINT 2
T-11,2,High,My Reports Page,Citizen dashboard showing their submitted reports with filters,T-8,"Reports listed with ID, category, priority, status, date; filters work","Django template with table + filter dropdowns (категорија, приоритет, статус). Side panel with mini Leaflet map showing own pins. Link to + Нова пријава.",FE,Medium,To Do,Ивана,SPRINT 2
T-12,2,High,AI Classification Pipeline,Connect AI module to report submission flow,"T-2, T-8",Every new report gets auto-classified within 2s; fallback to Unclassified,"Django signal post_save on Report: async call to classify_report(). Parse response, update report.category, report.priority, report.sector. Handle timeout/error gracefully.",DE/AI,High,To Do,Магдалена,SPRINT 2
T-13,2,High,Auth & Report Submission Tests,"Test user registration, login, report creation","T-4, T-8","Tests cover register, login, submit report, AI fallback path","Write pytest tests: test_register_and_verify_email, test_login_logout, test_submit_report_with_ai, test_submit_report_ai_failure (mock Ollama timeout).",QA,Medium,To Do,Ангела,SPRINT 2
T-14,3,High,Interactive Map View,Show all reports on Leaflet/OpenStreetMap with colored pins,T-8,Map loads; pins colored by status; click opens popup; filters work,"Leaflet.js + OpenStreetMap tiles. Fetch reports via AJAX Django endpoint. Color markers: blue=New, orange=InProgress, green=Resolved. Filter panel (category/status/municipality). Popup shows ID, desc, status badge.",FE,High,To Do,Јана,SPRINT 2
T-15,3,High,Officer Work Panel,Sector officer dashboard: list + detail panel for assigned reports,T-9,Officer sees only own-sector reports; can update status; internal note field,"Split-panel layout. Left: filterable table (приоритет, статус). Right: detail panel with map snippet, description, status dropdown, internal notes textarea, Save button. Mismatch -> redirect button.",FE,Medium,To Do,Елена,SPRINT 2
T-16,3,High,Email Notifications (SendGrid),"Send emails on: report submitted, status changed","T-8, T-9",Emails sent within 30s of trigger; retry on failure; stored in DB,Integrate SendGrid API via env var SENDGRID_API_KEY. Django signal triggers send_email(). Use HTML+text Django templates. On failure: save FailedEmail record. Celery/management command retry.,BE,High,To Do,,
T-17,3,Medium,Search & Filter API,Backend endpoint for searching/filtering reports,T-8,GET /reports/?category=&status=&sector=&priority=&from=&to= returns filtered list,"Django ListView with Q filters. Support: category, status, sector, priority, date range, keyword, location. Return paginated JSON or HTML depending on request type.",BE,Medium,To Do,,
T-18,3,Medium,Heatmap Data Endpoint,Provide location density data for heatmap visualization,T-1,"GET /reports/heatmap/ returns list of {lat,lng,weight}",Django view aggregating report coordinates. Weight by count per area. Used by Leaflet.heat plugin on frontend.,DE/AI,Medium,To Do,,
T-19,3,High,Map & Officer Panel Tests,"Test map rendering data, officer permissions, status update","T-14, T-15","Tests: officer can't see other sectors, status update triggers email, map endpoint returns correct coords","pytest: test_officer_sector_isolation, test_status_update_sends_email (mock SendGrid), test_map_endpoint_returns_coords.",QA,Medium,To Do,,
T-20,4,High,Admin Panel UI,"Full admin dashboard: stats, user management, categories, system log","T-16, T-17",Admin sees all stats; can activate/deactivate users; manage categories/sectors,"Django template with 4 tabs: Аналитика (Chart.js), Корисници (table with role/status/actions), Подесувања (categories+sectors CRUD), Системски лог. Import/Export buttons top-right.",FE,High,To Do,,
T-21,4,Medium,Search Page UI,"Public search page with keyword, filters, list & map toggle",T-17,Results show in table and on map; sortable by date/priority/status,"Search bar + filter row (Сите, Статус, Општина, Приоритет). Results table with clickable IDs. Toggle between list and map view. Sort controls.",FE,Medium,To Do,,
T-22,4,Medium,Notifications Log Page,Admin page showing sent/failed/pending email notifications,T-16,"Notifications displayed with time, type, recipient, status; retry button for failed","Table with columns: Време, Тип (badge), Порака, Примач, Статус (Испратено/Неуспешно/Во чекање), Акција (retry). Повтори неуспешни and Масовно известување buttons.",FE,Medium,To Do,,
T-23,4,High,Admin Management APIs,"APIs for user CRUD, category/sector CRUD, system log access",T-4,"Admin can activate/deactivate users, assign roles, add/edit categories and sectors",Django views with @admin_required decorator. UserAdmin: list/update/toggle-active. CategoryAdmin: CRUD. SectorAdmin: CRUD. SystemLog: read-only queryset of AuditLog.,BE,Medium,To Do,,
T-24,4,High,CSV/Excel Export,Export reports to CSV or Excel with date/category filters,T-8,Download triggers file; filters applied; file is valid CSV/Excel,"Django view using csv module or openpyxl. Accept GET params: format=csv|excel, from, to, category, status. Stream response with Content-Disposition header.",BE,Medium,To Do,,
T-25,4,Medium,Analytics Aggregations,Backend queries for dashboard stats,T-1,"Stats API returns: total, by_category, by_status, by_priority, by_week/month/year",Django view /analytics/stats/. Annotate querysets. Support period param (weekly/monthly/yearly). Return JSON consumed by Chart.js on frontend.,DE/AI,Medium,To Do,,
T-26,4,High,Admin & Export Tests,"Test admin actions, CSV export, analytics accuracy","T-23, T-24",Admin can toggle user; export file is valid; stats match DB counts,"pytest: test_admin_deactivate_user, test_csv_export_filters, test_analytics_matches_db. Also test non-admin cannot access admin endpoints.",QA,Medium,To Do,,
T-27,5,Medium,Chart.js Analytics Widgets,"Add charts to admin dashboard: bar, line, pie",T-25,Charts render with real data; support weekly/monthly/yearly toggle,Use Chart.js. Bar chart: reports by category. Line chart: reports over time. Pie chart: by status. Fetch from /analytics/stats/?period=. Add period selector dropdown.,FE,Medium,To Do,,
T-28,5,Medium,Heatmap Toggle on Map,Add heatmap layer toggle to map view,"T-14, T-18",Toggle switch shows/hides heatmap overlay; works alongside pin markers,Add Leaflet.heat plugin. Toggle UI control top-right (Топлотна мапа switch). On enable: fetch /reports/heatmap/ and render. On disable: remove layer.,FE,Low,To Do,,
T-29,5,Medium,CSV Import,Import reports from CSV for migration/initialization,T-8,Valid CSV rows create reports; invalid rows logged; summary returned,"Django management command import_reports. Validate headers, parse rows, bulk_create valid entries. Return import summary (created/skipped/errors).",BE,Medium,To Do,,
T-30,5,Low,Bulk Notification Command,Mass email to citizens in a region about resolved issues,T-16,Command sends emails to affected users; can be run via cron,Django management command or admin action. Filter resolved reports by municipality/sector. Use SendGrid bulk. Confirmation UI in admin notifications page.,BE,Low,To Do,,
T-31,5,Medium,AI Reclassification,Allow admin to trigger reclassification of Unclassified reports,T-12,Reclassify button on admin panel reprocesses unclassified reports,"Admin action endpoint POST /reports/reclassify/. Query status='Unclassified', rerun classify_report() for each. Update fields. Log results.",DE/AI,Medium,To Do,,
T-32,5,High,End-to-End Regression,"Full E2E test: citizen reports, officer resolves, emails sent","T-13, T-19, T-26",Complete happy path passes; all edge cases covered,"Selenium or Django test client E2E: register->submit report->officer updates status->citizen receives email. Also test: AI failure fallback, officer redirect, admin export.",QA,High,To Do,,
T-33,5,Medium,Performance & Security Tests,Load test and security audit,T-32,App handles 50 concurrent users; no XSS/CSRF vulnerabilities,"Use locust for load test (50 users, report submission endpoint <2s). Check Django CSRF enabled, XSS in templates escaped, admin endpoints protected, passwords hashed.",QA,High,To Do,,
T-34,6,High,Render Deployment,"Deploy app to Render with PostgreSQL, env vars, auto-deploy",T-32,App live on Render; DB connected; auto-deploys on push to main,"Create render.yaml or manual Render service. Set env vars (DATABASE_URL, SENDGRID_API_KEY, SECRET_KEY). Configure static files via WhiteNoise. Set up Render PostgreSQL. Test production build.",BE,High,To Do,,
T-35,6,High,Static & Media Files CDN,Configure WhiteNoise/CDN for static and media file serving,T-34,Static files load in production; images upload and display correctly,Add WhiteNoise to middleware. STATIC_ROOT = BASE_DIR/'staticfiles'. Run collectstatic in build command. Media files: configure Render disk or S3 bucket for uploads.,BE,Medium,To Do,,
T-36,6,Medium,Responsive & Accessibility Polish,Ensure all pages are mobile-friendly and accessible,"T-20, T-21",All pages pass mobile view; no horizontal scroll; ARIA labels on interactive elements,"Test all pages at 375px, 768px, 1280px. Fix layout issues. Add aria-label to buttons/forms. Check color contrast. Ensure tab navigation works. Fix any Bootstrap grid issues.",FE,Medium,To Do,,
T-37,6,High,Production Smoke Tests,Test all critical flows on live Render environment,T-34,"Register, submit report, officer panel, admin panel all work in production","Manual + automated smoke tests on production URL: auth flows, report submission with real GPS, email delivery, map loads, admin export downloads.",QA,Medium,To Do,,
T-38,6,Medium,Bug Fixes & Final QA,Fix all bugs found during testing sprints,T-37,Zero critical/high bugs open; backlog cleared,Triage all open issues. Prioritize: Critical>High>Medium. Assign to respective role owners. Verify fixes with regression tests. Update documentation.,QA,High,To Do,,
T-39,6,Medium,Documentation & Handover,"Write technical docs, README, deployment guide",T-38,README complete; API documented; deployment steps clear,"Write README.md: project overview, local setup, env vars table, Docker commands. Document AI module usage. Add API endpoint reference. Architecture diagram link.",DE/AI,Low,To Do,,
,,,,,,,,,TOTAL,,,
